preds,statements,ids,tokens,extra
"""Vikram Betaal Ki Rahasya Gatha"" and ""Shaadi Ke Siyape""",What TV shows was Shagun Sharma seen in 2019?,2206,4824,In which TV shows was Shagun Sharma seen in 2019?;What TV shows was Shagun Sharma seen in?; In which year was Shagun Sharma seen in the TV show?
The Vietnamese Fatherland Front won 424 seats in the 1975 North Vietnamese legislative election.,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,15555,5069,What were the voting results of the 1975 North Vietnamese legislative election?;what were the total number of votes for the Vietnamese Fatherland Front?; what percentage of the total votes did the Vietnamese Fatherland Front receive in the 1975 North Vietnamese legislative election?
Christian Cooke played the role of Lord Dorian Gaudain in 2009.,What roles did Christian Cooke play in 2009?,561,3456, What year did Christian Cooke play the role of Lord Dorian Gaudain?;What roles did Christian Cooke play in 2009?
"The track with the lowest BPM on the Speed SFX series is ""Mission: Impossible Theme"" and the track with the highest BPM is also ""Mission: Impossible Theme"".","Which track has the lowest bpm, and which has the highest on the Speed SFX series?",9835,4620, What is the highest BPM on the Speed SFX series?;What is the lowest BPM on the Speed SFX series?;What are the BPMs of the tracks in the Speed SFX series?
Kazunari Okayama started his career in 1997 at Club Division.,When and in which club and league did Kazunari Okayama start his career?,21418,6081,When did Kazunari Okayama start his career?; In which club and league did Kazunari Okayama start his career?;In which club and league did Kazunari Okayama start his career?
"The German submarine U-438 caused the sinking of three ships, resulting in significant overall damage.",How much overall damage did the German submarine U-438 cause?,8032,4920, What ships did the German submarine U-438 damage?;What was the extent of the damage caused by the German submarine U-438?;What ships did the German submarine U-438 sink?
Yu Da-Hyun (유다현),Who set the fastest average in Megaminx?,431,3483,What is the fastest average time for each competitor? Who set the fastest average time in Megaminx?;Who holds the fastest average time in Megaminx?
Faye appeared for Hull City in the seasons 2012-13 and 2013-14.,What seasons did Faye appear for Hull City?,20853,6356,In which seasons did Faye play for Hull City?; What seasons did Faye appear for Bolton Wanderers?;What seasons did Faye appear for RC Lens?
"The isotopes reported are 253Rf, 254Rf, 255Rf, 256Rf, 257Rf, 257mRf, 258Rf, 259Rf, 259mRf, 260Rf, 261Rf, 261mRf, 262Rf, 263Rf, 263mRf, 265Rf, 266Rf, 267Rf, 268Rf, and 270Rf.",Which isotope has been reported?,767,5548,"Which isotope has been reported?;What are the half-lives, decay modes, and discovery years of the isotopes? Which isotopes have been reported?"
The winner of the championship is Walter Hagen and the second place is Jim Barnes.,Who's the winner of the championship and who is in the second place?,1812,4754,Who finished in second place in the championship?; who had the second lowest score?;who had the lowest score?
"Yu won the Grand Ceremony of Movie & TV New Forces award, the 16th Asian Television Awards, and the Youku Film and Television Award for the work ""Palace"" in 2011.",What significant career achievement did Yu make in 2011?,15064,4155,What significant career achievement did Yu make in 2011?; What significant career achievements did Yu make in other years?
"Huang Yu-ting won gold in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint events at the 2009 World Games.",How's Huang Yu-ting doing in the 2009 World Games?,1834,5334,How did Huang Yu-ting perform in the 2009 World Games?;What event did Huang Yu-ting participate in at the 2009 World Games?; What was Huang Yu-ting's performance in that event?
I cannot answer the question based on the given sub-table.,What shows did Marisol Nichols appear in during 1996?,16730,5160,What shows did Marisol Nichols appear in?;In which shows did Marisol Nichols appear in 1996?; In which year did Marisol Nichols appear in those shows?
"The last two finishers in the Women's 800 metre freestyle performed with times of 8:24.50 and 8:27.75, respectively. Lotte Friis finished with a rank of 7 and Sarah Köhler finished with a rank of 8.",How did the last two finishers perform in the Women's 800 metre freestyle?,10064,5542,what was the time for the last place finisher?; what was the time for the second to last place finisher?;How did the last two finishers perform in the Women's 800 metre freestyle?
The Unionist Candidate did not perform in the East Antrim election in the 1910's.,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,21159,5163, How many votes did the Unionist Candidate receive in the East Antrim election in the 1910's?;What was the total number of votes in the East Antrim election in the 1910's?;How did the Unionist Candidate perform in the East Antrim election in the 1910's?
The athletes who finished 2nd at the 2014 Commonwealth Games in Glasgow achieved a time of 37.47.,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,12617,3908,Who finished 2nd at the 2014 Commonwealth games?; What time did they achieve?
"""I've Got a Feeling"" was released on 1998-05-22.","When was ""I've Got a Feeling"" released?",21070,4675,"What is the release date for ""I've Got a Feeling"" in the United States?; What is the release date for ""I've Got a Feeling"" in Australia?;When was the song ""I've Got a Feeling"" released in the United States?"
The Labour party beat the National British Party by [Difference] votes.,How many votes did Labour beat the National British Party by?,20930,3608,What was the margin of victory for the Labour Party over the National British Party in terms of votes?;What were the number of votes for the Labour party? What were the number of votes for the National British Party?
